CustomerID,GrossRevenue,SalesOrders,UnitsSold,ReturnValue,ReturnOrders,ReturnedUnits,NetRevenue,ReturnRate,ReturnValueRate,Recency,Frequency,Monetary,Segment,CustomerLifetimeDays,AverageOrderValue,CumulativeNetRevenue,CumulativeRevenuePct,RevenueRank,ValueTier,ReturnRisk,StrategicClass
18102.0,608821.65,145,188340,-10606.43,8.0,1230.0,598215.22,0.0551724137931034,0.0174212431506008,1,145,608821.65,Champions,738,4198.77,598215.22,3.591925510009139,1,Very High Value,Low Return Risk,Strategic High Value
14646.0,528602.52,151,367193,-5260.45,12.0,2613.0,523342.07,0.0794701986754966,0.0099516173324334,2,151,528602.52,Champions,736,3500.678940397351,1121557.29,6.7342824224494295,2,Very High Value,Low Return Risk,Strategic High Value
14156.0,313759.82,156,165873,-17381.68,46.0,2082.0,296378.14,0.2948717948717949,0.0553980429998971,10,156,313759.82,Champions,729,2011.2808974358973,1417935.4300000002,8.513856338464237,3,Very High Value,Moderate Return Risk,Strategic High Value
14911.0,295832.39,398,149949,-25662.9,112.0,6472.0,270169.49,0.2814070351758794,0.0867481076024163,2,398,295832.39,Champions,737,743.2974623115579,1688104.9200000002,10.13606294691054,4,Very High Value,Moderate Return Risk,Strategic High Value
17450.0,246813.09,51,84700,-13393.7,10.0,3724.0,233419.39,0.196078431372549,0.0542665707074126,9,51,246813.09,Champions,430,4839.472352941177,1921524.31,11.537607129406886,5,Very High Value,Moderate Return Risk,Strategic High Value
13694.0,196482.81,143,189205,-5619.85,21.0,3667.0,190862.96,0.1468531468531468,0.0286022476979029,4,143,196482.81,Champions,732,1374.0056643356645,2112387.27,12.683625338271336,6,Very High Value,Low Return Risk,Strategic High Value
17511.0,175603.55,60,119656,-3717.57,25.0,1743.0,171885.97999999998,0.4166666666666667,0.0211702439956367,3,60,175603.55,Champions,735,2926.725833333333,2284273.25,13.715698103613082,7,Very High Value,Low Return Risk,Strategic High Value
12415.0,144458.37,28,91447,-1189.08,5.0,428.0,143269.29,0.1785714285714285,0.0082312987471753,25,28,144458.37,Champions,503,5159.2275,2427542.54,14.57594471778632,8,Very High Value,Low Return Risk,Strategic High Value
16684.0,147142.77,55,104810,-5640.52,10.0,3715.0,141502.25,0.1818181818181818,0.0383336537704163,5,55,147142.77,Champions,728,2675.3230909090908,2569044.79,15.425581310948711,9,Very High Value,Low Return Risk,Strategic High Value
15061.0,137818.52,127,80711,-1427.04,11.0,726.0,136391.47999999998,0.0866141732283464,0.0103544864652442,4,127,137818.52,Champions,735,1085.1851968503936,2705436.27,16.244530779268658,10,Very High Value,Low Return Risk,Strategic High Value
15311.0,116575.49,208,70931,-3258.09,62.0,1283.0,113317.4,0.2980769230769231,0.0279483277316698,1,208,116575.49,Champions,738,560.4590865384615,2818753.67,16.924934162833374,11,Very High Value,Low Return Risk,Strategic High Value
13089.0,116647.53,203,60150,-3523.67,44.0,991.0,113123.86,0.2167487684729064,0.0302078406632356,3,203,116647.53,Champions,735,574.6183743842364,2931877.53,17.6041754541611,12,Very High Value,Low Return Risk,Strategic High Value
17949.0,118628.08,118,60658,-19732.49,20.0,6330.0,98895.59,0.1694915254237288,0.1663391163373798,2,118,118628.08,Champions,736,1005.3227118644068,3030773.12,18.19798447250805,13,Very High Value,High Return Risk,High Value / High Return Risk
16029.0,122035.14,107,56386,-28058.15,18.0,6537.0,93976.99,0.1682242990654205,0.2299186119670121,39,107,122035.14,Champions,693,1140.5153271028037,3124750.1099999994,18.762260232216864,14,Very High Value,High Return Risk,High Value / High Return Risk
14298.0,91194.49,82,100272,-705.1800000000001,2.0,418.0,90489.31,0.024390243902439,0.0077327040263068,9,82,91194.49,Champions,720,1112.1279268292683,3215239.4199999995,19.30559455422245,15,Very High Value,Low Return Risk,Strategic High Value
15769.0,88704.32,46,49104,-4434.9400000000005,5.0,2014.0,84269.38,0.108695652173913,0.0499968885393631,8,46,88704.32,Champions,721,1928.354782608696,3299508.8,19.811581907293565,16,Very High Value,Low Return Risk,Strategic High Value
13798.0,75836.87,110,48347,-2261.95,15.0,936.0,73574.92,0.1363636363636363,0.0298265210576333,2,110,75836.87,Champions,730,689.4260909090908,3373083.7199999997,20.253355408216663,17,Very High Value,Low Return Risk,Strategic High Value
15838.0,74163.0,34,64664,-758.89,4.0,18840.0,73404.11,0.1176470588235294,0.0102327306069064,12,34,74163.0,Champions,713,2181.264705882353,3446487.829999999,20.69410329699241,18,Very High Value,Low Return Risk,Strategic High Value
12931.0,92347.34,57,62906,-21047.67,14.0,14561.0,71299.67,0.2456140350877192,0.2279185301926401,22,57,92347.34,Champions,717,1620.1287719298246,3517787.499999999,21.122215279045008,19,Very High Value,High Return Risk,High Value / High Return Risk
17841.0,70081.86,211,37166,-1367.88,78.0,438.0,68713.98,0.3696682464454976,0.0195183175788998,2,211,70081.86,Champions,736,332.1415165876777,3586501.479999999,21.53480173523089,20,Very High Value,Low Return Risk,Strategic High Value
14088.0,64036.8,16,15276,-1636.78,4.0,97.0,62400.02,0.25,0.0255599905054593,11,16,64036.8,Champions,411,4002.3,3648901.499999999,21.90947662842916,21,Very High Value,Low Return Risk,Strategic High Value
16422.0,63589.07,109,66273,-2540.93,37.0,3285.0,61048.14,0.3394495412844037,0.0399585966581992,18,109,63589.07,Champions,679,583.3859633027523,3709949.639999999,22.27603428873845,22,Very High Value,Low Return Risk,Strategic High Value
13081.0,59205.15,28,41423,-877.0,16.0,363.0,58328.15,0.5714285714285714,0.014812900566927,12,28,59205.15,Champions,720,2114.469642857143,3768277.789999999,22.626260031802364,23,Very High Value,Low Return Risk,Strategic High Value
14096.0,65164.79,17,16352,-8043.88,17.0,17.0,57120.91,1.0,0.123439053513408,5,17,65164.79,Champions,97,3833.222941176471,3825398.6999999993,22.969237018887277,24,Very High Value,Moderate Return Risk,Strategic High Value
16754.0,67502.47,29,67831,-10941.89,6.0,9361.0,56560.58,0.2068965517241379,0.1620961425559687,373,29,67502.47,At Risk High Value,269,2327.671379310345,3881959.2799999993,23.30884955860653,25,Very High Value,High Return Risk,High Value / High Return Risk
13777.0,56478.42,61,26742,-461.85,12.0,176.0,56016.57,0.1967213114754098,0.0081774596385663,1,61,56478.42,Champions,737,925.875737704918,3937975.849999999,23.645195642823865,26,Very High Value,Low Return Risk,Strategic High Value
17850.0,56600.08,155,22785,-801.1,4.0,176.0,55798.98,0.0258064516129032,0.0141536902421339,373,155,56600.08,At Risk High Value,362,365.1618064516129,3993774.829999999,23.98023522890208,27,Very High Value,Low Return Risk,Strategic High Value
