CustomerID,GrossRevenue,SalesOrders,UnitsSold,ReturnValue,ReturnOrders,ReturnedUnits,NetRevenue,ReturnRate,ReturnValueRate,Recency,Frequency,Monetary,Segment,CustomerLifetimeDays,AverageOrderValue,CumulativeNetRevenue,CumulativeRevenuePct,RevenueRank
18102.0,608821.65,145,188340,-10606.43,8.0,1230.0,598215.22,0.05517241379310345,0.017421243150600837,1,145,608821.65,Champions,738,4198.77,598215.22,3.591925510009139,1
14646.0,528602.52,151,367193,-5260.45,12.0,2613.0,523342.07,0.07947019867549669,0.00995161733243345,2,151,528602.52,Champions,736,3500.678940397351,1121557.29,6.7342824224494295,2
14156.0,313759.82,156,165873,-17381.68,46.0,2082.0,296378.14,0.2948717948717949,0.05539804299989718,10,156,313759.82,Champions,729,2011.2808974358973,1417935.4300000002,8.513856338464237,3
14911.0,295832.39,398,149949,-25662.9,112.0,6472.0,270169.49,0.2814070351758794,0.08674810760241636,2,398,295832.39,Champions,737,743.2974623115579,1688104.9200000002,10.13606294691054,4
17450.0,246813.09,51,84700,-13393.7,10.0,3724.0,233419.38999999998,0.19607843137254902,0.05426657070741264,9,51,246813.09,Champions,430,4839.472352941177,1921524.31,11.537607129406886,5
13694.0,196482.81,143,189205,-5619.85,21.0,3667.0,190862.96,0.14685314685314685,0.028602247697902938,4,143,196482.81,Champions,732,1374.0056643356645,2112387.27,12.683625338271337,6
17511.0,175603.55,60,119656,-3717.57,25.0,1743.0,171885.97999999998,0.4166666666666667,0.021170243995636766,3,60,175603.55,Champions,735,2926.725833333333,2284273.25,13.715698103613082,7
12415.0,144458.37,28,91447,-1189.08,5.0,428.0,143269.29,0.17857142857142858,0.008231298747175398,25,28,144458.37,Champions,503,5159.2275,2427542.54,14.575944717786319,8
16684.0,147142.77,55,104810,-5640.52,10.0,3715.0,141502.25,0.18181818181818182,0.038333653770416316,5,55,147142.77,Champions,728,2675.3230909090908,2569044.79,15.425581310948711,9
15061.0,137818.52,127,80711,-1427.04,11.0,726.0,136391.47999999998,0.08661417322834646,0.010354486465244294,4,127,137818.52,Champions,735,1085.1851968503936,2705436.27,16.244530779268658,10
15311.0,116575.49,208,70931,-3258.09,62.0,1283.0,113317.40000000001,0.2980769230769231,0.027948327731669838,1,208,116575.49,Champions,738,560.4590865384615,2818753.67,16.924934162833374,11
